reward,loss,success_rate,eps
217536.69716894627,0.002483439861788829,0.38774883684886635,0.801697976119403
255030.35022175312,0.0029082850478318783,0.45439046707857567,0.6033953611940299
291838.977876544,0.0029301616282219776,0.5203972447997234,0.40509274626865666
328832.54220306873,0.0032130562509007825,0.5864368083311724,0.2067901313432836
365952.5520811081,0.0035935832087174817,0.6525568461242701,0.010000000000000009
382024.8726183176,0.003593773201204497,0.681998503774839,0.010000000000000009
384103.3687864542,0.0031080802395422906,0.6857360861491874,0.010000000000000009
384418.7438015938,0.0030400425493252686,0.6865080429553726,0.010000000000000009
385400.0371735096,0.0030360365800949874,0.6881115671319271,0.010000000000000009
384838.0073735714,0.0029274703284805355,0.6871577981049801,0.010000000000000009
385139.7022243738,0.002874469974126028,0.6876346826184536,0.010000000000000009
385556.7047343254,0.0029265993666016117,0.6884632694606138,0.010000000000000009
385503.17894017696,0.00296697812736702,0.6883291456911994,0.010000000000000009
385790.2881206274,0.0029283369400592146,0.6889371734458781,0.010000000000000009
