global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far,episode_success_rate_so_far
215000,1,215000,215000,0.8729259641791045,119670.06350672245,0.0018100394924973316,0.3898186046511628
220000,1,220000,220000,0.8699707402985075,122313.45715236664,0.0018238907522244766,0.38919545454545457
225000,1,225000,225000,0.8670155164179105,125079.08263397217,0.0018369729562779603,0.38899555555555554
230000,1,230000,230000,0.8640602925373134,127901.09784889221,0.0018471109560458622,0.38893478260869563
235000,1,235000,235000,0.8611050686567164,130719.46176540852,0.0018557970571438807,0.38884255319148936
240000,1,240000,240000,0.8581498447761194,133423.32927274704,0.0018661703924008786,0.38848333333333335
245000,1,245000,245000,0.8551946208955223,136172.36486756802,0.0018759546861563908,0.3882734693877551
250000,1,250000,250000,0.8522393970149253,138907.27562475204,0.0018875449151422945,0.387996
255000,1,255000,255000,0.8492841731343284,141622.9538191557,0.0018968169313410923,0.38767450980392154
260000,1,260000,260000,0.8463289492537314,144380.97061657906,0.0019042660742430038,0.3874923076923077
265000,1,265000,265000,0.8433737253731344,147316.37452805042,0.0019130792851610886,0.3877622641509434
270000,1,270000,270000,0.8404185014925374,150060.53932201862,0.0019199517763390623,0.38755925925925927
275000,1,275000,275000,0.8374632776119403,152822.81143414974,0.0019255723504079188,0.3873927272727273
280000,1,280000,280000,0.8345080537313433,155610.8794312477,0.0019315792740495713,0.3873107142857143
285000,1,285000,285000,0.8315528298507463,158483.62741720676,0.0019377676033599225,0.3874
290000,1,290000,290000,0.8285976059701492,161352.41927456856,0.001942168199387429,0.3874586206896552
295000,1,295000,295000,0.8256423820895522,164290.9564549923,0.0019457342927370288,0.38759661016949154
300000,1,300000,300000,0.8226871582089552,167101.9016301632,0.0019493060367494763,0.38757
305000,1,305000,305000,0.8197319343283582,169978.43378818035,0.001954157780094662,0.38760983606557375
310000,1,310000,310000,0.8167767104477612,172891.59013926983,0.001959648547618652,0.3876903225806452
315000,1,315000,315000,0.8138214865671642,175751.28930699825,0.001963909353404389,0.3877047619047619
320000,1,320000,320000,0.8108662626865671,178611.6092402935,0.0019680367080822632,0.387696875
325000,1,325000,325000,0.8079110388059701,181517.89587402344,0.0019704713442134044,0.38776
330000,1,330000,330000,0.8049558149253732,184471.50458335876,0.0019720846951720885,0.387930303030303
335000,1,335000,335000,0.8020005910447761,187443.02094233036,0.0019741956201092246,0.3881850746268657
340000,2,4488,340000,0.7990453671641791,3254.7624937295914,0.002144559417307479,0.5124777183600713
345000,2,9488,345000,0.7960901432835821,6820.133816719055,0.0022081423104630448,0.5094856661045531
350000,2,14488,350000,0.7931349194029851,10007.818696141243,0.00230561025683648,0.4906819436775262
355000,2,19488,355000,0.7901796955223881,14122.124772310257,0.0022994025436803766,0.5129823481116584
360000,2,24488,360000,0.7872244716417911,17266.22774708271,0.0023004974090692627,0.4999183273440052
365000,2,29488,365000,0.7842692477611941,20081.470569491386,0.00229847968306054,0.48273874118285404
370000,2,34488,370000,0.781314023880597,22800.411110043526,0.002303612601590274,0.46842379958246344
375000,2,39488,375000,0.7783588,25547.20640361309,0.002315225349731352,0.45829112641815234
380000,2,44488,380000,0.775403576119403,28387.27961087227,0.0023274438364697106,0.45169483905772345
385000,2,49488,385000,0.7724483522388059,31171.784198641777,0.0023228210265873973,0.4459464920788878
390000,2,54488,390000,0.7694931283582089,34087.245764017105,0.0023180396347629883,0.44270298047276463
395000,2,59488,395000,0.7665379044776119,37057.40452706814,0.002339237264338235,0.4405258203335126
400000,2,64488,400000,0.763582680597015,39811.79294490814,0.002340252997806084,0.4368099491378241
405000,2,69488,400000,0.760627456716418,42703.98458516598,0.002338159775770085,0.4347081510476629
410000,2,74488,400000,0.757672232835821,45643.951953053474,0.0023321008955129317,0.4335866179787348
415000,2,79488,400000,0.7547170089552239,48488.73758840561,0.0023278009027744586,0.43172554347826086
420000,2,84488,400000,0.7517617850746269,51342.0589222908,0.002315535610469059,0.4300729097623331
425000,2,89488,400000,0.7488065611940298,54146.82906448841,0.002303392000185456,0.42810209190059
430000,2,94488,400000,0.7458513373134328,57096.879366874695,0.0022912451221627377,0.4274722716112099
435000,2,99488,400000,0.7428961134328358,62679.02739787102,0.0022829114279194276,0.4458929720167256
440000,2,104488,400000,0.7399408895522388,66314.70374166965,0.0022773829166818013,0.4490467804915397
445000,2,109488,400000,0.7369856656716418,69319.5366910696,0.002273069577987948,0.44795776706123047
450000,2,114488,400000,0.7340304417910448,72352.58452689648,0.0022647517756166865,0.44709489204108727
455000,2,119488,400000,0.7310752179104478,75525.45456647873,0.0022669284764666093,0.4469653856454205
460000,2,124488,400000,0.7281199940298508,78565.8953357935,0.0022696970500758373,0.4462438146648673
465000,2,129488,400000,0.7251647701492537,81596.69964265823,0.0022680013257022264,0.44542351414802916
470000,2,134488,400000,0.7222095462686567,84772.57487607002,0.002264761960072233,0.4454152043304979
475000,2,139488,400000,0.7192543223880598,89003.27700281143,0.0022651218744524195,0.45073411332874513
