global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far,episode_success_rate_so_far
5000,1,5000,5000,0.9970453671641791,3340.224305868149,0.0008878158492152579,0.4366
10000,1,10000,10000,0.9940901432835821,6622.082785248756,0.0010629993186943465,0.4319
15000,1,15000,15000,0.991134919402985,9894.868280291557,0.0010683780276818046,0.4292
20000,1,20000,20000,0.988179695522388,13610.345100998878,0.001404253342364973,0.44045
25000,1,25000,25000,0.985224471641791,16662.350326657295,0.001425000753282802,0.43024
30000,1,30000,30000,0.9822692477611941,19371.798112511635,0.0014352849434236608,0.41583333333333333
35000,1,35000,35000,0.9793140238805971,22008.972182035446,0.0014450972261348008,0.4038857142857143
40000,1,40000,40000,0.9763588,24730.419662237167,0.0014603391139658924,0.396175
45000,1,45000,45000,0.973403576119403,27461.40191912651,0.0014765055692360167,0.3904
50000,1,50000,50000,0.970448352238806,30169.695838451385,0.0014914323679782683,0.3855
55000,1,55000,55000,0.967493128358209,32839.79187130928,0.0015085345701669048,0.3810727272727273
60000,1,60000,60000,0.9645379044776119,35517.82799303532,0.0015253355712605602,0.37725
65000,1,65000,65000,0.9615826805970149,38248.19508802891,0.0015401432882864564,0.3747846153846154
70000,1,70000,70000,0.9586274567164179,40908.28162038326,0.001560193956657895,0.3721714285714286
75000,1,75000,75000,0.9556722328358209,43652.43976712227,0.0015740492893464397,0.37068
80000,1,80000,80000,0.9527170089552239,46360.480677723885,0.0015889724707249117,0.3689625
85000,1,85000,85000,0.9497617850746268,49101.78666508198,0.0016001349511635078,0.36776470588235294
90000,1,90000,90000,0.9468065611940298,51821.20388829708,0.0016123490730840582,0.3665888888888889
95000,1,95000,95000,0.9438513373134328,54615.92870867252,0.0016201542551932539,0.36593684210526317
100000,1,100000,100000,0.9408961134328359,60725.85108053684,0.0016394721108206431,0.38672
105000,1,105000,105000,0.9379408895522388,63909.377937197685,0.0016629010502401452,0.38712380952380954
110000,1,110000,110000,0.9349856656716418,66676.37611341476,0.001679435456216875,0.38524545454545456
115000,1,115000,115000,0.9320304417910448,69577.08132755756,0.0016987182810378728,0.38432173913043477
120000,1,120000,120000,0.9290752179104478,72450.0051137209,0.0017199302596939863,0.38309166666666666
125000,1,125000,125000,0.9261199940298508,75415.23307669163,0.001734357048772974,0.382496
130000,1,130000,130000,0.9231647701492537,78374.4289509058,0.0017460700916245024,0.3817615384615385
135000,1,135000,135000,0.9202095462686567,81312.83423900604,0.001763400311638489,0.3811777777777778
140000,1,140000,140000,0.9172543223880597,86100.82060861588,0.0017816921642409788,0.38879285714285716
145000,1,145000,145000,0.9142990985074627,90639.88789689541,0.0018193883139156367,0.3948
150000,1,150000,150000,0.9113438746268657,94711.06288707256,0.001856515389836277,0.39780666666666664
155000,1,155000,155000,0.9083886507462686,97995.44981408119,0.0018887767988304052,0.397341935483871
160000,1,160000,160000,0.9054334268656716,101173.09692549706,0.0019183834525623752,0.39653125
165000,1,165000,165000,0.9024782029850746,104651.15511000156,0.0019494495575748398,0.3970060606060606
170000,1,170000,170000,0.8995229791044776,107884.77413713932,0.0019841698159266826,0.39637058823529414
175000,1,175000,175000,0.8965677552238807,111092.06986474991,0.002042485631773681,0.39566285714285715
180000,1,180000,180000,0.8936125313432836,114084.06401073933,0.002085476012290423,0.3943111111111111
185000,1,185000,185000,0.8906573074626866,117154.73065400124,0.00211541437524783,0.3932162162162162
190000,1,190000,190000,0.8877020835820896,120257.22463977337,0.0021386223152848145,0.39236315789473686
195000,1,195000,195000,0.8847468597014926,123474.32202398777,0.0021594205507093696,0.39186666666666664
200000,1,200000,200000,0.8817916358208955,126738.99393749237,0.002174803513102088,0.391465
205000,1,205000,205000,0.8788364119402985,129889.83338105679,0.00218879356916991,0.3907658536585366
210000,1,210000,210000,0.8758811880597015,133148.408005476,0.002203030599744497,0.3904
215000,1,215000,215000,0.8729259641791045,136344.08788704872,0.002216865366841477,0.38991162790697675
220000,1,220000,220000,0.8699707402985075,139631.0601258278,0.002231783486623449,0.3896727272727273
