global_step,episode,episode_inner_step,buffer_size,epsilon,episode_reward_so_far,episode_avg_loss_so_far
160000,1,160000,160000,0.9054334268656716,97784.4172617197,4.5455649033411785
165000,1,165000,165000,0.9024782029850746,101005.1149623394,4.40891535196193
170000,1,170000,170000,0.8995229791044776,104012.30031728745,4.280035024143653
175000,1,175000,175000,0.8965677552238807,107054.58784067631,4.158573169364441
180000,1,180000,180000,0.8936125313432836,109936.99166727066,4.043708031198113
185000,1,185000,185000,0.8906573074626866,112866.24041903019,3.9348812652571077
190000,1,190000,190000,0.8877020835820896,115862.39289867878,3.831788352156379
195000,1,195000,195000,0.8847468597014926,118706.37259113789,3.7339748327102287
200000,1,200000,200000,0.8817916358208955,121613.32977771759,3.6409566905542707
205000,1,205000,205000,0.8788364119402985,124506.69092297554,3.552511299052636
210000,1,210000,210000,0.8758811880597015,127458.5633007288,3.468251283618224
215000,1,215000,215000,0.8729259641791045,130431.750015378,3.3878069208220265
220000,1,220000,220000,0.8699707402985075,133420.59531271458,3.3109916084530537
225000,1,225000,225000,0.8670155164179105,136426.41783189774,3.2375816809794715
230000,1,230000,230000,0.8640602925373134,139532.19957900047,3.1673642184260826
235000,1,235000,235000,0.8611050686567164,142462.47002661228,3.1001159545377477
240000,1,240000,240000,0.8581498447761194,145436.86744630337,3.035656335380675
245000,1,245000,245000,0.8551946208955223,148640.97482049465,2.9738319468584273
250000,1,250000,250000,0.8522393970149253,151721.51367986202,2.9144740460428005
255000,1,255000,255000,0.8492841731343284,154734.22663199902,2.857455833877484
260000,1,260000,260000,0.8463289492537314,157919.04607486725,2.802616310654955
265000,1,265000,265000,0.8433737253731344,161082.51722192764,2.749848148474527
270000,1,270000,270000,0.8404185014925374,164203.3333953619,2.6990297103645573
275000,1,275000,275000,0.8374632776119403,167293.36099374294,2.6500504043361266
280000,1,280000,280000,0.8345080537313433,170317.2886557579,2.6028236218360306
285000,1,285000,285000,0.8315528298507463,173399.28888952732,2.557270249446399
290000,1,290000,290000,0.8285976059701492,176613.63810646534,2.513279452478277
295000,1,295000,295000,0.8256423820895522,179842.95277774334,2.4707667720689885
300000,1,300000,300000,0.8226871582089552,182987.40334033966,2.4296706527882033
305000,1,305000,305000,0.8197319343283582,186181.33850467205,2.3899249571192676
310000,1,310000,310000,0.8167767104477612,189387.38284182549,2.3514482606045393
315000,1,315000,315000,0.8138214865671642,192514.69835197926,2.314187337433608
320000,1,320000,320000,0.8108662626865671,195777.16951560974,2.2780871999153156
325000,1,325000,325000,0.8079110388059701,199028.60374307632,2.2430956172988696
330000,1,330000,330000,0.8049558149253732,202278.4210256338,2.2091660151150596
335000,1,335000,335000,0.8020005910447761,205629.563883543,2.176245533326713
340000,2,4488,340000,0.7990453671641791,3277.3160799741745,0.0037463739574633693
345000,2,9488,345000,0.7960901432835821,6960.6936284303665,0.003748208209796419
350000,2,14488,350000,0.7931349194029851,10273.25433576107,0.0037103978820330072
355000,2,19488,355000,0.7901796955223881,14340.364351034164,0.003770398000571809
360000,2,24488,360000,0.7872244716417911,17550.337683677673,0.0038272397322633273
365000,2,29488,365000,0.7842692477611941,20357.155084848404,0.0038918904157080056
370000,2,34488,370000,0.781314023880597,23391.14549767971,0.0038653997140534594
375000,2,39488,375000,0.7783588,26267.355956077576,0.003844662538214666
380000,2,44488,380000,0.775403576119403,29141.421618700027,0.0038231829152866495
385000,2,49488,385000,0.7724483522388059,31983.34063732624,0.003793522191507874
390000,2,54488,390000,0.7694931283582089,35002.699289917946,0.003763047868055116
395000,2,59488,395000,0.7665379044776119,37916.19174647331,0.003755528614177083
400000,2,64488,400000,0.763582680597015,40833.467292547226,0.003737560163378479
405000,2,69488,400000,0.760627456716418,43807.76544582844,0.0036943572406842695
410000,2,74488,400000,0.757672232835821,46767.64418888092,0.003652260638195178
415000,2,79488,400000,0.7547170089552239,49670.4558314085,0.0036180669700443748
420000,2,84488,400000,0.7517617850746269,52611.71099257469,0.003593791880874007
425000,2,89488,400000,0.7488065611940298,55650.7414509058,0.0035745609464671495
430000,2,94488,400000,0.7458513373134328,58556.25968289375,0.003562521394041708
435000,2,99488,400000,0.7428961134328358,64557.59082531929,0.0035631567588164815
440000,2,104488,400000,0.7399408895522388,68340.07685530186,0.0035567475685202386
445000,2,109488,400000,0.7369856656716418,71424.86759722233,0.003547233013716706
450000,2,114488,400000,0.7340304417910448,74470.15893626213,0.003544498531285139
455000,2,119488,400000,0.7310752179104478,77618.85412657261,0.003533605757490877
460000,2,124488,400000,0.7281199940298508,80690.45478761196,0.003533753491227697
465000,2,129488,400000,0.7251647701492537,83834.64146232605,0.003533637147465684
470000,2,134488,400000,0.7222095462686567,86853.60590553284,0.0035376633572857578
475000,2,139488,400000,0.7192543223880598,91365.17953562737,0.003548234318573779
480000,2,144488,400000,0.7162990985074627,96167.90313518047,0.0035624840275829068
485000,2,149488,400000,0.7133438746268657,100814.07526743412,0.0035982148289429297
490000,2,154488,400000,0.7103886507462687,104194.20756399632,0.0036470533752165626
495000,2,159488,400000,0.7074334268656717,107535.52502894402,0.0036918009565544085
500000,2,164488,400000,0.7044782029850747,111049.64741003513,0.003722032338332002
505000,2,169488,400000,0.7015229791044777,114165.6811683178,0.0037475974728658464
510000,2,174488,400000,0.6985677552238806,117432.11186087132,0.003763878435476128
515000,2,179488,400000,0.6956125313432836,120785.97485589981,0.003773697290915085
520000,2,184488,400000,0.6926573074626866,124004.91329443455,0.0037928946754911064
525000,2,189488,400000,0.6897020835820895,127191.61265265942,0.0038248977445333576
530000,2,194488,400000,0.6867468597014925,130486.55309677124,0.003860454417792871
535000,2,199488,400000,0.6837916358208955,133809.70459485054,0.0038905224484853873
540000,2,204488,400000,0.6808364119402985,137243.63302397728,0.0039250912286941005
545000,2,209488,400000,0.6778811880597015,140507.7610270977,0.003957768011806369
550000,2,214488,400000,0.6749259641791046,143850.46623158455,0.00396854101541198
555000,2,219488,400000,0.6719707402985075,147250.57468783855,0.00398243472389964
560000,2,224488,400000,0.6690155164179105,150564.079885602,0.003988418935129091
565000,2,229488,400000,0.6660602925373135,153928.47402703762,0.003987967812443746
570000,2,234488,400000,0.6631050686567164,157207.453440547,0.003985645223931127
575000,2,239488,400000,0.6601498447761194,160518.8626075983,0.00397834101577168
580000,2,244488,400000,0.6571946208955224,164013.6298031807,0.003973993783547696
585000,2,249488,400000,0.6542393970149254,167343.3320018053,0.0039672952037161325
590000,2,254488,400000,0.6512841731343284,170709.21221137047,0.0039646496247431025
595000,2,259488,400000,0.6483289492537314,173948.8091145754,0.003957454244843679
600000,2,264488,400000,0.6453737253731343,177471.77052521706,0.003949560193202225
605000,2,269488,400000,0.6424185014925373,181020.00301337242,0.00394888398546373
610000,2,274488,400000,0.6394632776119403,184461.98832559586,0.003949923198438597
615000,2,279488,400000,0.6365080537313432,187908.91015422344,0.003952286867598189
620000,2,284488,400000,0.6335528298507462,191379.1816111803,0.003952129756364109
625000,2,289488,400000,0.6305976059701492,194853.75280952454,0.0039510800931067125
630000,2,294488,400000,0.6276423820895523,198305.9898353815,0.003950225939316732
635000,2,299488,400000,0.6246871582089553,201714.97596514225,0.003946109090839708
640000,2,304488,400000,0.6217319343283583,205328.73523712158,0.003939846119289106
645000,2,309488,400000,0.6187767104477612,208725.73697316647,0.003934449468561637
650000,2,314488,400000,0.6158214865671642,212351.90112638474,0.003925305150727444
655000,2,319488,400000,0.6128662626865672,215971.46153616905,0.003922742058109772
660000,2,324488,400000,0.6099110388059701,219271.80467915535,0.003927189291763831
665000,2,329488,400000,0.6069558149253731,222841.74473500252,0.003928170757728229
670000,2,334488,400000,0.6040005910447761,226386.05709016323,0.003927241757528238
675000,3,3976,400000,0.6010453671641791,3185.20371901989,0.004648568927010819
680000,3,8976,400000,0.5980901432835821,7225.040809035301,0.004172768711723361
685000,3,13976,400000,0.5951349194029851,10713.477202534676,0.004183120546115413
690000,3,18976,400000,0.592179695522388,15203.150645494461,0.004093996314083059
695000,3,23976,400000,0.589224471641791,18731.381133913994,0.004170927560919617
700000,3,28976,400000,0.586269247761194,21965.710121631622,0.004126975191315303
705000,3,33976,400000,0.5833140238805969,25140.840896964073,0.0040960347118406395
710000,3,38976,400000,0.5803588,28336.88847732544,0.004029457954718319
715000,3,43976,400000,0.577403576119403,31491.82081735134,0.00396233717957484
720000,3,48976,400000,0.574448352238806,34571.71907746792,0.00390813072918771
725000,3,53976,400000,0.571493128358209,37797.41620385647,0.0038701078555394364
730000,3,58976,400000,0.568537904477612,41177.10607230663,0.0038394578823400917
735000,3,63976,400000,0.5655826805970149,44326.07809197903,0.0038206483801439886
740000,3,68976,400000,0.5626274567164179,47577.0182492733,0.003798486638357036
745000,3,73976,400000,0.5596722328358209,50773.60278570652,0.0037891419591876774
750000,3,78976,400000,0.5567170089552238,54005.894100666046,0.003758747593717032
755000,3,83976,400000,0.5537617850746268,57331.571850419044,0.0037387489763245144
760000,3,88976,400000,0.5508065611940298,60515.457995057106,0.0037430588576954174
765000,3,93976,400000,0.5478513373134328,63848.903421640396,0.00373448550371473
770000,3,98976,400000,0.5448961134328358,69548.24692749977,0.003709626573961249
775000,3,103976,400000,0.5419408895522388,73991.93206036091,0.0036938292134549864
780000,3,108976,400000,0.5389856656716419,77299.55016481876,0.0036811506213591024
785000,3,113976,400000,0.5360304417910449,80646.7130663395,0.003676186677988751
790000,3,118976,400000,0.5330752179104479,83979.46506547928,0.003684831427701984
795000,3,123976,400000,0.5301199940298508,87275.58668541908,0.0036993469282536194
800000,3,128976,400000,0.5271647701492538,90689.48766040802,0.0037167159972004986
805000,3,133976,400000,0.5242095462686567,94043.43712615967,0.0037295068922979678
810000,3,138976,400000,0.5212543223880597,98475.91542768478,0.0037357371513869965
815000,3,143976,400000,0.5182990985074627,103685.05816662312,0.0037421746903558537
820000,3,148976,400000,0.5153438746268657,108802.68440520763,0.0037715635218071456
825000,3,153976,400000,0.5123886507462687,112499.76599705219,0.0037827917929558388
830000,3,158976,400000,0.5094334268656717,116072.09266483784,0.0038051676815876595
835000,3,163976,400000,0.5064782029850747,119986.87521255016,0.0038289415574615155
840000,3,168976,400000,0.5035229791044777,123443.40501093864,0.003853126780245632
845000,3,173976,400000,0.5005677552238806,127050.57332742214,0.003862504735427402
850000,3,178976,400000,0.49761253134328354,130649.72238969803,0.003868561619477221
855000,3,183976,400000,0.49465730746268655,134272.00307250023,0.0038795032744437276
860000,3,188976,400000,0.49170208358208956,137845.7311320305,0.0038963969817781326
865000,3,193976,400000,0.48874685970149256,141467.44369924068,0.0039039327718503425
870000,3,198976,400000,0.48579163582089546,145157.5515203476,0.003918773466849156
875000,3,203976,400000,0.48283641194029847,148926.4191482067,0.003928694018050953
880000,3,208976,400000,0.4798811880597015,152563.65082085133,0.003943821007542613
885000,3,213976,400000,0.4769259641791045,156356.0822776556,0.003940628512981592
890000,3,218976,400000,0.4739707402985074,160513.14115905762,0.003944114347608565
895000,3,223976,400000,0.4710155164179105,164789.4071509838,0.003947206123881555
900000,3,228976,400000,0.4680602925373134,169220.69135594368,0.003947633617838299
905000,3,233976,400000,0.4651050686567164,173319.6902087927,0.003938925191494739
910000,3,238976,400000,0.4621498447761193,177505.6708278656,0.0039182797026140045
915000,3,243976,400000,0.45919462089552243,181712.30624473095,0.0038975842185321316
920000,3,248976,400000,0.45623939701492533,186317.1134507656,0.003879986685442543
925000,3,253976,400000,0.45328417313432834,190423.95066416264,0.0038657865837566662
930000,3,258976,400000,0.45032894925373135,194601.18661820889,0.00384673633650721
935000,3,263976,400000,0.44737372537313436,199168.09253561497,0.0038368763384268724
940000,3,268976,400000,0.44441850149253725,203676.62408208847,0.0038220678829357303
945000,3,273976,400000,0.44146327761194026,208205.478348732,0.0037999488083594727
950000,3,278976,400000,0.4385080537313434,212754.42611765862,0.0037779351950158403
955000,3,283976,400000,0.4355528298507463,217308.91503739357,0.0037536515777578986
960000,3,288976,400000,0.4325976059701493,221641.6088911295,0.0037337864262591536
965000,3,293976,400000,0.4296423820895522,226269.74310350418,0.003712973421768
970000,3,298976,400000,0.4266871582089553,230921.52697598934,0.0036940699646192507
975000,3,303976,400000,0.4237319343283582,235651.2746207714,0.0036766635256525525
980000,3,308976,400000,0.4207767104477612,240144.74428796768,0.0036760551450172613
985000,3,313976,400000,0.4178214865671642,244750.43600690365,0.0036577078930447047
990000,3,318976,400000,0.41486626268656723,249594.62622058392,0.0036402417760699386
995000,3,323976,400000,0.41191103880597013,254110.2715806961,0.0036235743093402267
1000000,3,328976,400000,0.40895581492537314,258680.66240513325,0.0036064729375042824
1005000,3,333976,400000,0.40600059104477615,263567.82416939735,0.003588732865577862
1010000,4,3464,400000,0.40304536716417916,3386.071855068207,0.0026217920287232898
1015000,4,8464,400000,0.40009014328358206,8243.511619210243,0.0025518143635855184
1020000,4,13464,400000,0.3971349194029852,12732.71863913536,0.002612267323312476
1025000,4,18464,400000,0.3941796955223881,18161.112295508385,0.0026445341934319333
1030000,4,23464,400000,0.3912244716417911,22696.119205713272,0.002673172007659959
1035000,4,28464,400000,0.388269247761194,26632.574901103973,0.002667850148216166
1040000,4,33464,400000,0.3853140238805971,30637.08688545227,0.0026650489011857408
1045000,4,38464,400000,0.3823588,34580.70430612564,0.002669306962234138
1050000,4,43464,400000,0.379403576119403,38777.25791478157,0.0026613729594794177
1055000,4,48464,400000,0.3764483522388059,42842.495419979095,0.0026624026459478663
1060000,4,53464,400000,0.373493128358209,47077.07561767101,0.0026530503635486613
1065000,4,58464,400000,0.3705379044776119,51289.72626364231,0.002620022776415338
1070000,4,63464,400000,0.36758268059701493,55338.96356022358,0.0025964817933022436
1075000,4,68464,400000,0.36462745671641794,59450.50489127636,0.00258246694070882
1080000,4,73464,400000,0.36167223283582095,63629.529326081276,0.0025545231310283786
1085000,4,78464,400000,0.35871700895522385,67769.70122075081,0.002531923276982188
1090000,4,83464,400000,0.35576178507462686,71896.85440218449,0.0025102771645791836
1095000,4,88464,400000,0.35280656119402987,76166.99276697636,0.002492331070088097
1100000,4,93464,400000,0.3498513373134329,80360.51644408703,0.0024894981091704953
1105000,4,98464,400000,0.3468961134328358,86425.8755632639,0.0024751247660012173
1110000,4,103464,400000,0.3439408895522389,91981.83426821232,0.002466713034147262
1115000,4,108464,400000,0.3409856656716418,96337.52011883259,0.002455637765588412
1120000,4,113464,400000,0.3380304417910448,100961.3590811491,0.0024501725547599715
1125000,4,118464,400000,0.3350752179104477,105549.41833555698,0.002433576343192593
1130000,4,123464,400000,0.3321199940298508,110004.8091263771,0.0024310177320659475
1135000,4,128464,400000,0.3291647701492537,114636.79654622078,0.0024231953843203012
1140000,4,133464,400000,0.3262095462686567,119332.26403605938,0.002411366439461275
1145000,4,138464,400000,0.3232543223880596,124359.1005949974,0.0023996468407698882
